Using device: cuda
Initialized new model
============================================================
MODEL PARAMETER COUNT
============================================================
Encoder parameters:    12,232,320
Decoder parameters:    970,016
Total parameters:      13,202,336
============================================================
Training from step 0 to 1000000
Step 0 (0.0%): Train Loss = 1.846472, Val Loss = 1.295519, Gnorm = 6.976364, Samples = 256, LR = 2.00e-04, Steps/sec = 0.00, Samples/sec = 0.0
Step 500 (0.1%): Train Loss = 0.604791, Val Loss = 0.563872, Gnorm = 0.941558, Samples = 128256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 289.1
Step 1000 (0.1%): Train Loss = 0.518181, Val Loss = 0.496180, Gnorm = 0.161196, Samples = 256256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.1
Step 1500 (0.2%): Train Loss = 0.468716, Val Loss = 0.476625, Gnorm = 0.323985, Samples = 384256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.5
Step 2000 (0.2%): Train Loss = 0.480382, Val Loss = 0.433947, Gnorm = 0.268590, Samples = 512256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.1
Step 2500 (0.3%): Train Loss = 0.467942, Val Loss = 0.467644, Gnorm = 0.290585, Samples = 640256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 280.0
Step 3000 (0.3%): Train Loss = 0.454649, Val Loss = 0.462932, Gnorm = 0.324102, Samples = 768256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.9
Step 3500 (0.4%): Train Loss = 0.450069, Val Loss = 0.446835, Gnorm = 0.187960, Samples = 896256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.9
Step 4000 (0.4%): Train Loss = 0.472116, Val Loss = 0.490890, Gnorm = 0.323697, Samples = 1024256, LR = 2.00e-04, Steps/sec = 1.10, Samples/sec = 280.7
Step 4500 (0.5%): Train Loss = 0.449420, Val Loss = 0.430785, Gnorm = 0.265280, Samples = 1152256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.0
Step 5000 (0.5%): Train Loss = 0.456406, Val Loss = 0.438651, Gnorm = 0.239854, Samples = 1280256, LR = 2.00e-04, Steps/sec = 1.10, Samples/sec = 280.4
Step 5500 (0.6%): Train Loss = 0.447357, Val Loss = 0.447916, Gnorm = 0.277408, Samples = 1408256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 289.8
Step 6000 (0.6%): Train Loss = 0.453288, Val Loss = 0.427817, Gnorm = 0.236126, Samples = 1536256, LR = 2.00e-04, Steps/sec = 1.10, Samples/sec = 281.3
Step 6500 (0.7%): Train Loss = 0.431203, Val Loss = 0.431875, Gnorm = 0.299442, Samples = 1664256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 289.0
Step 7000 (0.7%): Train Loss = 0.452587, Val Loss = 0.484793, Gnorm = 0.441246, Samples = 1792256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 289.3
Step 7500 (0.8%): Train Loss = 0.445796, Val Loss = 0.437518, Gnorm = 0.243397, Samples = 1920256, LR = 2.00e-04, Steps/sec = 1.10, Samples/sec = 280.9
Step 8000 (0.8%): Train Loss = 0.444459, Val Loss = 0.421952, Gnorm = 0.198007, Samples = 2048256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.1
Step 8500 (0.9%): Train Loss = 0.451645, Val Loss = 0.398403, Gnorm = 0.181751, Samples = 2176256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 278.5
Step 9000 (0.9%): Train Loss = 0.439220, Val Loss = 0.428746, Gnorm = 0.280238, Samples = 2304256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.2
Step 9500 (1.0%): Train Loss = 0.429287, Val Loss = 0.413562, Gnorm = 0.316981, Samples = 2432256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 278.7
Step 10000 (1.0%): Train Loss = 0.434160, Val Loss = 0.442939, Gnorm = 0.223430, Samples = 2560256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.1
Step 10500 (1.1%): Train Loss = 0.444948, Val Loss = 0.397780, Gnorm = 0.175359, Samples = 2688256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.0
Step 11000 (1.1%): Train Loss = 0.423476, Val Loss = 0.409079, Gnorm = 0.204608, Samples = 2816256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 280.1
Step 11500 (1.2%): Train Loss = 0.425005, Val Loss = 0.417068, Gnorm = 0.313835, Samples = 2944256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.8
Step 12000 (1.2%): Train Loss = 0.442541, Val Loss = 0.468179, Gnorm = 0.151337, Samples = 3072256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 278.8
Step 12500 (1.3%): Train Loss = 0.429337, Val Loss = 0.422453, Gnorm = 0.194082, Samples = 3200256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.1
Step 13000 (1.3%): Train Loss = 0.431956, Val Loss = 0.424584, Gnorm = 0.300827, Samples = 3328256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 278.5
Step 13500 (1.4%): Train Loss = 0.428518, Val Loss = 0.454909, Gnorm = 0.243901, Samples = 3456256, LR = 2.00e-04, Steps/sec = 1.13, Samples/sec = 288.2
Step 14000 (1.4%): Train Loss = 0.448239, Val Loss = 0.398789, Gnorm = 0.209000, Samples = 3584256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.3
Step 14500 (1.5%): Train Loss = 0.422332, Val Loss = 0.421789, Gnorm = 0.168266, Samples = 3712256, LR = 2.00e-04, Steps/sec = 1.09, Samples/sec = 279.9
Step 15000 (1.5%): Train Loss = 0.418746, Val Loss = 0.407982, Gnorm = 0.157850, Samples = 3840256, LR = 2.00e-04, Steps/sec = 1.12, Samples/sec = 287.9
