index,filename,mse_all,mse_masked
0,__llb3_3936_2018_05_02_13_05_03___,0.04404922,0.03099604
1,__llb3_3709_2018_05_02_07_47_42___,0.05463981,0.03095733
2,__llb3_3871_2018_05_02_10_59_10___,0.05843741,0.03221286
3,__llb3_4003_2018_05_02_14_44_36___,0.05648846,0.03573279
4,__llb3_2633_2018_04_29_09_28_15___,0.06408462,0.03578981
5,__llb3_2668_2018_04_29_10_35_30___,0.04636152,0.02207998
6,__llb3_2471_2018_04_28_17_27_14___,0.05419031,0.03586925
7,__llb3_1230_2018_04_26_14_00_50___,0.03977010,0.02357039
8,__llb3_1725_2018_04_27_13_27_15___,0.04944792,0.02226370
9,__llb3_3722_2018_05_02_07_59_54___,0.04442890,0.02773369
